Place,Time,Pace,GroupPlace,Group,Age,Sex,BIBNumber, FirstName, LasName, Town, State
1,'1:09:47','5:20',1,'20-39',37,'M',340,'ANDRE', 'PELLAM', 'HALIFAX','MA'
2,'1:11:08','5:26',2,'20-39',29,'M',34,'HORACE', 'KARPOWICZ', 'BREWSTER','MA'
3,'1:15:43','5:47',3,'20-39',27,'M',399,'MILES', 'ROSELLA', 'PEACEDALE','RI'
4,'1:16:18','5:49',4,'20-39',35,'M',18,'FRANKLYN', 'GIRARDIN', 'N PROV','RI'
5,'1:18:29','5:59',5,'20-39',23,'M',262,'AL', 'LEMASTER', 'WESTERLY','RI'
6,'1:18:36','6:00',1,'40-49',46,'M',308,'CRUZ', 'TAILOR', 'SAUNDERTOWN','RI'
7,'1:18:46','6:01',6,'20-39',38,'M',45,'DEWEY', 'HEAIVILIN', 'ST CHARLES','MO'
8,'1:19:05','6:02',7,'20-39',37,'M',16,'HYMAN', 'CURIE', 'WRENTHAM','MA'
9,'1:19:09','6:03',2,'40-49',41,'M',42,'BRENTON', 'FAGO', 'WESTERLY','RI'
10,'1:19:16','6:03',3,'40-49',41,'M',420,'CHARLES', 'FARLESS', 'CRANSTON','RI'
11,'1:19:22','6:04',4,'40-49',45,'M',177,'WILBER', 'VANORDER', 'W YARM','MA'
12,'1:20:08','6:07',8,'20-39',39,'M',225,'ABE', 'VIELLE', 'DEERFIELD','NH'
13,'1:20:34','6:09',9,'20-39',22,'M',145,'JAMES', 'SAMANTHA', 'RICHMOND','RI'
14,'1:20:45','6:10',10,'20-39',31,'M',431,'HERSHEL', 'MACHINSKY', 'JOHNSTON','RI'
15,'1:21:02','6:11',11,'20-39',33,'M',478,'BRADLY', 'WAGMAN', 'CAMBRIDGE','MA'
16,'1:21:24','6:13',1,'01-19',18,'M',484,'KENDRICK', 'HOLZ', 'PROV','RI'
17,'1:22:11','6:16',1,'20-39',36,'F',380,'JAMA', 'PEAD', 'NEPTUNE BEACH','FL'
18,'1:22:21','6:17',12,'20-39',34,'M',61,'EZRA', 'ITTNER', 'CANTON','RI'
19,'1:22:36','6:18',5,'40-49',41,'M',76,'ROMEO', 'UNVARSKY', 'NPT','RI'
20,'1:22:56','6:20',13,'20-39',39,'M',200,'HERIBERTO', 'CHANDRASEKHAR', 'LAKEVILLE','CT'
